maximum_stage 8
hash_dist_unit 42
salu 18
map_ram 36
sram 0
tcam 0
                                res_2_3_table  0  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  0  0
                          sketching_2_2_table  0  0  0  0  0  0  0  0
                          sketching_2_3_table  0  0  0  0  0  0  0  0
                             sampling_3_table  0  0  0  0  0  0  0  0
                                res_3_1_table  0  0  0  0  0  0  0  0
                                res_3_2_table  0  0  0  0  0  0  0  0
                                res_3_3_table  0  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  0  0  0  0  0  0
                          sketching_3_2_table  0  0  0  0  0  0  0  0
                          sketching_3_3_table  0  0  0  0  0  0  0  0
                             sampling_4_table  0  0  0  0  0  0  0  0
                                res_4_1_table  0  0  0  0  0  0  0  0
                                res_4_2_table  0  0  0  0  0  0  0  0
                                res_4_3_table  0  0  0  0  0  0  0  0
                          sketching_4_1_table  0  0  0  0  0  0  0  0
                          sketching_4_2_table  0  0  0  0  0  0  0  0
                          sketching_4_3_table  0  0  0  0  0  0  0  0
                             sampling_5_table  0  0  0  0  0  0  0  0
                                res_5_1_table  0  0  0  0  0  0  0  0
                                res_5_2_table  0  0  0  0  0  0  0  0
                                res_5_3_table  0  0  0  0  0  0  0  0
                          sketching_5_1_table  0  0  0  0  0  0  0  0
                          sketching_5_2_table  0  0  0  0  0  0  0  0
                          sketching_5_3_table  0  0  0  0  0  0  0  0
                             sampling_6_table  0  0  0  0  0  0  0  0
                                res_6_1_table  0  0  0  0  0  0  0  0
                                res_6_2_table  0  0  0  0  0  0  0  0
                                res_6_3_table  0  0  0  0  0  0  0  0
                          sketching_6_1_table  0  0  0  0  0  0  0  0
                          sketching_6_2_table  0  0  0  0  0  0  0  0
                          sketching_6_3_table  0  0  0  0  0  0  0  0
                                 _condition_0  0  0  0  0  0  0  0  0
                                 _condition_1  0  0  0  0  0  0  0  0
                                 _condition_2  0  0  0  0  0  0  0  0
                                 _condition_3  0  0  0  0  0  0  0  0
                                 _condition_4  0  0  0  0  0  0  0  0
---------------------------------------------------------------------
                    [layout [sram]] TOTAL SUM  0  0  0  0  0  0  0  0
---------------------------------------------------------------------

                           [layoutBin [sram]]  1  2  3  4  5  6  7  8
---------------------------------------------------------------------
                             sampling_1_table  0  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  0  0
                                res_1_2_table  0  0  0  0  0  0  0  0
                                res_1_3_table  0  0  0  0  0  0  0  0
                          sketching_1_1_table  0  0  0  0  0  0  0  0
                          sketching_1_2_table  0  0  0  0  0  0  0  0
                          sketching_1_3_table  0  0  0  0  0  0  0  0
                             sampling_2_table  0  0  0  0  0  0  0  0
                                res_2_1_table  0  0  0  0  0  0  0  0
                                res_2_2_table  0  0  0  0  0  0  0  0
                                res_2_3_table  0  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  0  0
                          sketching_2_2_table  0  0  0  0  0  0  0  0
                          sketching_2_3_table  0  0  0  0  0  0  0  0
                             sampling_3_table  0  0  0  0  0  0  0  0
                                res_3_1_table  0  0  0  0  0  0  0  0
                                res_3_2_table  0  0  0  0  0  0  0  0
                                res_3_3_table  0  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  0  0  0  0  0  0
                          sketching_3_2_table  0  0  0  0  0  0  0  0
                          sketching_3_3_table  0  0  0  0  0  0  0  0
                             sampling_4_table  0  0  0  0  0  0  0  0
                                res_4_1_table  0  0  0  0  0  0  0  0
                                res_4_2_table  0  0  0  0  0  0  0  0
                                res_4_3_table  0  0  0  0  0  0  0  0
                          sketching_4_1_table  0  0  0  0  0  0  0  0
                          sketching_4_2_table  0  0  0  0  0  0  0  0
                          sketching_4_3_table  0  0  0  0  0  0  0  0
                             sampling_5_table  0  0  0  0  0  0  0  0
                                res_5_1_table  0  0  0  0  0  0  0  0
                                res_5_2_table  0  0  0  0  0  0  0  0
                                res_5_3_table  0  0  0  0  0  0  0  0
                          sketching_5_1_table  0  0  0  0  0  0  0  0
                          sketching_5_2_table  0  0  0  0  0  0  0  0
                          sketching_5_3_table  0  0  0  0  0  0  0  0
                             sampling_6_table  0  0  0  0  0  0  0  0
                                res_6_1_table  0  0  0  0  0  0  0  0
                                res_6_2_table  0  0  0  0  0  0  0  0
                                res_6_3_table  0  0  0  0  0  0  0  0
                          sketching_6_1_table  0  0  0  0  0  0  0  0
                          sketching_6_2_table  0  0  0  0  0  0  0  0
                          sketching_6_3_table  0  0  0  0  0  0  0  0
                                 _condition_0  0  0  0  0  0  0  0  0
                                 _condition_1  0  0  0  0  0  0  0  0
                                 _condition_2  0  0  0  0  0  0  0  0
                                 _condition_3  0  0  0  0  0  0  0  0
                                 _condition_4  0  0  0  0  0  0  0  0
---------------------------------------------------------------------
                 [layoutBin [sram]] TOTAL SUM  0  0  0  0  0  0  0  0
---------------------------------------------------------------------

                                [word [tcam]]       1       2       3       4       5       6       7       8
-------------------------------------------------------------------------------------------------------------
                             sampling_1_table       0       0       0       0       0       0       0       0
                                res_1_1_table       0       0       0       0       0       0       0       0
                                res_1_2_table       0       0       0       0       0       0       0       0
                                res_1_3_table       0       0       0       0       0       0       0       0
                          sketching_1_1_table       0       0       0       0       0       0       0       0
                          sketching_1_2_table       0       0       0       0       0       0       0       0
                          sketching_1_3_table       0       0       0       0       0       0       0       0
                             sampling_2_table       0       0       0       0       0       0       0       0
                                res_2_1_table       0       0       0       0       0       0       0       0
                                res_2_2_table       0       0       0       0       0       0       0       0
                                res_2_3_table       0       0       0       0       0       0       0       0
                          sketching_2_1_table       0       0       0       0       0       0       0       0
                          sketching_2_2_table       0       0       0       0       0       0       0       0
                          sketching_2_3_table       0       0       0       0       0       0       0       0
                             sampling_3_table       0       0       0       0       0       0       0       0
                                res_3_1_table       0       0       0       0       0       0       0       0
                                res_3_2_table       0       0       0       0       0       0       0       0
                                res_3_3_table       0       0       0       0       0       0       0       0
                          sketching_3_1_table       0       0       0       0       0       0       0       0
                          sketching_3_2_table       0       0       0       0       0       0       0       0
                          sketching_3_3_table       0       0       0       0       0       0       0       0
                             sampling_4_table       0       0       0       0       0       0       0       0
                                res_4_1_table       0       0       0       0       0       0       0       0
                                res_4_2_table       0       0       0       0       0       0       0       0
                                res_4_3_table       0       0       0       0       0       0       0       0
                          sketching_4_1_table       0       0       0       0       0       0       0       0
                          sketching_4_2_table       0       0       0       0       0       0       0       0
                          sketching_4_3_table       0       0       0       0       0       0       0       0
                             sampling_5_table       0       0       0       0       0       0       0       0
                                res_5_1_table       0       0       0       0       0       0       0       0
                                res_5_2_table       0       0       0       0       0       0       0       0
                                res_5_3_table       0       0       0       0       0       0       0       0
                          sketching_5_1_table       0       0       0       0       0       0       0       0
                          sketching_5_2_table       0       0       0       0       0       0       0       0
                          sketching_5_3_table       0       0       0       0       0       0       0       0
                             sampling_6_table       0       0       0       0       0       0       0       0
                                res_6_1_table       0       0       0       0       0       0       0       0
                                res_6_2_table       0       0       0       0       0       0       0       0
                                res_6_3_table       0       0       0       0       0       0       0       0
                          sketching_6_1_table       0       0       0       0       0       0       0       0
                          sketching_6_2_table       0       0       0       0       0       0       0       0
                          sketching_6_3_table       0       0       0       0       0       0       0       0
                                 _condition_0       0       0       0       0       0       0       0       0
                                 _condition_1       0       0       0       0       0       0       0       0
                                 _condition_2       0       0       0       0       0       0       0       0
                                 _condition_3       0       0       0       0       0       0       0       0
                                 _condition_4       0       0       0       0       0       0       0       0
-------------------------------------------------------------------------------------------------------------
                      [word [tcam]] TOTAL SUM       0       0       0       0       0       0       0       0
-------------------------------------------------------------------------------------------------------------

                               [block [tcam]]  1  2  3  4  5  6  7  8
---------------------------------------------------------------------
                             sampling_1_table  0  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  0  0
                                res_1_2_table  0  0  0  0  0  0  0  0
                                res_1_3_table  0  0  0  0  0  0  0  0
                          sketching_1_1_table  0  0  0  0  0  0  0  0
                          sketching_1_2_table  0  0  0  0  0  0  0  0
                          sketching_1_3_table  0  0  0  0  0  0  0  0
                             sampling_2_table  0  0  0  0  0  0  0  0
                                res_2_1_table  0  0  0  0  0  0  0  0
                                res_2_2_table  0  0  0  0  0  0  0  0
                                res_2_3_table  0  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  0  0
                          sketching_2_2_table  0  0  0  0  0  0  0  0
                          sketching_2_3_table  0  0  0  0  0  0  0  0
                             sampling_3_table  0  0  0  0  0  0  0  0
                                res_3_1_table  0  0  0  0  0  0  0  0
                                res_3_2_table  0  0  0  0  0  0  0  0
                                res_3_3_table  0  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  0  0  0  0  0  0
                          sketching_3_2_table  0  0  0  0  0  0  0  0
                          sketching_3_3_table  0  0  0  0  0  0  0  0
                             sampling_4_table  0  0  0  0  0  0  0  0
                                res_4_1_table  0  0  0  0  0  0  0  0
                                res_4_2_table  0  0  0  0  0  0  0  0
                                res_4_3_table  0  0  0  0  0  0  0  0
                          sketching_4_1_table  0  0  0  0  0  0  0  0
                          sketching_4_2_table  0  0  0  0  0  0  0  0
                          sketching_4_3_table  0  0  0  0  0  0  0  0
                             sampling_5_table  0  0  0  0  0  0  0  0
                                res_5_1_table  0  0  0  0  0  0  0  0
                                res_5_2_table  0  0  0  0  0  0  0  0
                                res_5_3_table  0  0  0  0  0  0  0  0
                          sketching_5_1_table  0  0  0  0  0  0  0  0
                          sketching_5_2_table  0  0  0  0  0  0  0  0
                          sketching_5_3_table  0  0  0  0  0  0  0  0
                             sampling_6_table  0  0  0  0  0  0  0  0
                                res_6_1_table  0  0  0  0  0  0  0  0
                                res_6_2_table  0  0  0  0  0  0  0  0
                                res_6_3_table  0  0  0  0  0  0  0  0
                          sketching_6_1_table  0  0  0  0  0  0  0  0
                          sketching_6_2_table  0  0  0  0  0  0  0  0
                          sketching_6_3_table  0  0  0  0  0  0  0  0
                                 _condition_0  0  0  0  0  0  0  0  0
                                 _condition_1  0  0  0  0  0  0  0  0
                                 _condition_2  0  0  0  0  0  0  0  0
                                 _condition_3  0  0  0  0  0  0  0  0
                                 _condition_4  0  0  0  0  0  0  0  0
---------------------------------------------------------------------
                     [block [tcam]] TOTAL SUM  0  0  0  0  0  0  0  0
---------------------------------------------------------------------

                            [blockBin [tcam]]  1  2  3  4  5  6  7  8
---------------------------------------------------------------------
                             sampling_1_table  0  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  0  0
                                res_1_2_table  0  0  0  0  0  0  0  0
                                res_1_3_table  0  0  0  0  0  0  0  0
                          sketching_1_1_table  0  0  0  0  0  0  0  0
                          sketching_1_2_table  0  0  0  0  0  0  0  0
                          sketching_1_3_table  0  0  0  0  0  0  0  0
                             sampling_2_table  0  0  0  0  0  0  0  0
                                res_2_1_table  0  0  0  0  0  0  0  0
                                res_2_2_table  0  0  0  0  0  0  0  0
                                res_2_3_table  0  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  0  0
                          sketching_2_2_table  0  0  0  0  0  0  0  0
                          sketching_2_3_table  0  0  0  0  0  0  0  0
                             sampling_3_table  0  0  0  0  0  0  0  0
                                res_3_1_table  0  0  0  0  0  0  0  0
                                res_3_2_table  0  0  0  0  0  0  0  0
                                res_3_3_table  0  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  0  0  0  0  0  0
                          sketching_3_2_table  0  0  0  0  0  0  0  0
                          sketching_3_3_table  0  0  0  0  0  0  0  0
                             sampling_4_table  0  0  0  0  0  0  0  0
                                res_4_1_table  0  0  0  0  0  0  0  0
                                res_4_2_table  0  0  0  0  0  0  0  0
                                res_4_3_table  0  0  0  0  0  0  0  0
                          sketching_4_1_table  0  0  0  0  0  0  0  0
                          sketching_4_2_table  0  0  0  0  0  0  0  0
                          sketching_4_3_table  0  0  0  0  0  0  0  0
                             sampling_5_table  0  0  0  0  0  0  0  0
                                res_5_1_table  0  0  0  0  0  0  0  0
                                res_5_2_table  0  0  0  0  0  0  0  0
                                res_5_3_table  0  0  0  0  0  0  0  0
                          sketching_5_1_table  0  0  0  0  0  0  0  0
                          sketching_5_2_table  0  0  0  0  0  0  0  0
                          sketching_5_3_table  0  0  0  0  0  0  0  0
                             sampling_6_table  0  0  0  0  0  0  0  0
                                res_6_1_table  0  0  0  0  0  0  0  0
                                res_6_2_table  0  0  0  0  0  0  0  0
                                res_6_3_table  0  0  0  0  0  0  0  0
                          sketching_6_1_table  0  0  0  0  0  0  0  0
                          sketching_6_2_table  0  0  0  0  0  0  0  0
                          sketching_6_3_table  0  0  0  0  0  0  0  0
                                 _condition_0  0  0  0  0  0  0  0  0
                                 _condition_1  0  0  0  0  0  0  0  0
                                 _condition_2  0  0  0  0  0  0  0  0
                                 _condition_3  0  0  0  0  0  0  0  0
                                 _condition_4  0  0  0  0  0  0  0  0
---------------------------------------------------------------------
                  [blockBin [tcam]] TOTAL SUM  0  0  0  0  0  0  0  0
---------------------------------------------------------------------

                              [layout [tcam]]  1  2  3  4  5  6  7  8
---------------------------------------------------------------------
                             sampling_1_table  0  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  0  0
                                res_1_2_table  0  0  0  0  0  0  0  0
                                res_1_3_table  0  0  0  0  0  0  0  0
                          sketching_1_1_table  0  0  0  0  0  0  0  0
                          sketching_1_2_table  0  0  0  0  0  0  0  0
                          sketching_1_3_table  0  0  0  0  0  0  0  0
                             sampling_2_table  0  0  0  0  0  0  0  0
                                res_2_1_table  0  0  0  0  0  0  0  0
                                res_2_2_table  0  0  0  0  0  0  0  0
                                res_2_3_table  0  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  0  0
                          sketching_2_2_table  0  0  0  0  0  0  0  0
                          sketching_2_3_table  0  0  0  0  0  0  0  0
                             sampling_3_table  0  0  0  0  0  0  0  0
                                res_3_1_table  0  0  0  0  0  0  0  0
                                res_3_2_table  0  0  0  0  0  0  0  0
                                res_3_3_table  0  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  0  0  0  0  0  0
                          sketching_3_2_table  0  0  0  0  0  0  0  0
                          sketching_3_3_table  0  0  0  0  0  0  0  0
                             sampling_4_table  0  0  0  0  0  0  0  0
                                res_4_1_table  0  0  0  0  0  0  0  0
                                res_4_2_table  0  0  0  0  0  0  0  0
                                res_4_3_table  0  0  0  0  0  0  0  0
                          sketching_4_1_table  0  0  0  0  0  0  0  0
                          sketching_4_2_table  0  0  0  0  0  0  0  0
                          sketching_4_3_table  0  0  0  0  0  0  0  0
                             sampling_5_table  0  0  0  0  0  0  0  0
                                res_5_1_table  0  0  0  0  0  0  0  0
                                res_5_2_table  0  0  0  0  0  0  0  0
                                res_5_3_table  0  0  0  0  0  0  0  0
                          sketching_5_1_table  0  0  0  0  0  0  0  0
                          sketching_5_2_table  0  0  0  0  0  0  0  0
                          sketching_5_3_table  0  0  0  0  0  0  0  0
                             sampling_6_table  0  0  0  0  0  0  0  0
                                res_6_1_table  0  0  0  0  0  0  0  0
                                res_6_2_table  0  0  0  0  0  0  0  0
                                res_6_3_table  0  0  0  0  0  0  0  0
                          sketching_6_1_table  0  0  0  0  0  0  0  0
                          sketching_6_2_table  0  0  0  0  0  0  0  0
                          sketching_6_3_table  0  0  0  0  0  0  0  0
                                 _condition_0  0  0  0  0  0  0  0  0
                                 _condition_1  0  0  0  0  0  0  0  0
                                 _condition_2  0  0  0  0  0  0  0  0
                                 _condition_3  0  0  0  0  0  0  0  0
                                 _condition_4  0  0  0  0  0  0  0  0
---------------------------------------------------------------------
                    [layout [tcam]] TOTAL SUM  0  0  0  0  0  0  0  0
---------------------------------------------------------------------

                           [layoutBin [tcam]]  1  2  3  4  5  6  7  8
---------------------------------------------------------------------
                             sampling_1_table  0  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  0  0
                                res_1_2_table  0  0  0  0  0  0  0  0
                                res_1_3_table  0  0  0  0  0  0  0  0
                          sketching_1_1_table  0  0  0  0  0  0  0  0
                          sketching_1_2_table  0  0  0  0  0  0  0  0
                          sketching_1_3_table  0  0  0  0  0  0  0  0
                             sampling_2_table  0  0  0  0  0  0  0  0
                                res_2_1_table  0  0  0  0  0  0  0  0
                                res_2_2_table  0  0  0  0  0  0  0  0
                                res_2_3_table  0  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  0  0
                          sketching_2_2_table  0  0  0  0  0  0  0  0
                          sketching_2_3_table  0  0  0  0  0  0  0  0
                             sampling_3_table  0  0  0  0  0  0  0  0
                                res_3_1_table  0  0  0  0  0  0  0  0
                                res_3_2_table  0  0  0  0  0  0  0  0
                                res_3_3_table  0  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  0  0  0  0  0  0
                          sketching_3_2_table  0  0  0  0  0  0  0  0
                          sketching_3_3_table  0  0  0  0  0  0  0  0
                             sampling_4_table  0  0  0  0  0  0  0  0
                                res_4_1_table  0  0  0  0  0  0  0  0
                                res_4_2_table  0  0  0  0  0  0  0  0
                                res_4_3_table  0  0  0  0  0  0  0  0
                          sketching_4_1_table  0  0  0  0  0  0  0  0
                          sketching_4_2_table  0  0  0  0  0  0  0  0
                          sketching_4_3_table  0  0  0  0  0  0  0  0
                             sampling_5_table  0  0  0  0  0  0  0  0
                                res_5_1_table  0  0  0  0  0  0  0  0
                                res_5_2_table  0  0  0  0  0  0  0  0
                                res_5_3_table  0  0  0  0  0  0  0  0
                          sketching_5_1_table  0  0  0  0  0  0  0  0
                          sketching_5_2_table  0  0  0  0  0  0  0  0
                          sketching_5_3_table  0  0  0  0  0  0  0  0
                             sampling_6_table  0  0  0  0  0  0  0  0
                                res_6_1_table  0  0  0  0  0  0  0  0
                                res_6_2_table  0  0  0  0  0  0  0  0
                                res_6_3_table  0  0  0  0  0  0  0  0
                          sketching_6_1_table  0  0  0  0  0  0  0  0
                          sketching_6_2_table  0  0  0  0  0  0  0  0
                          sketching_6_3_table  0  0  0  0  0  0  0  0
                                 _condition_0  0  0  0  0  0  0  0  0
                                 _condition_1  0  0  0  0  0  0  0  0
                                 _condition_2  0  0  0  0  0  0  0  0
                                 _condition_3  0  0  0  0  0  0  0  0
                                 _condition_4  0  0  0  0  0  0  0  0
---------------------------------------------------------------------
                 [layoutBin [tcam]] TOTAL SUM  0  0  0  0  0  0  0  0
---------------------------------------------------------------------

                                [startAllMem]  1  2  3  4  5  6  7  8
---------------------------------------------------------------------
                             sampling_1_table  1  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  1  0
                                res_1_2_table  0  0  0  0  0  1  0  0
                                res_1_3_table  0  0  0  0  0  1  0  0
                          sketching_1_1_table  0  0  0  0  0  0  0  1
                          sketching_1_2_table  0  0  0  0  0  0  1  0
                          sketching_1_3_table  0  0  0  0  0  0  1  0
                             sampling_2_table  0  1  0  0  0  0  0  0
                                res_2_1_table  1  0  0  0  0  0  0  0
                                res_2_2_table  1  0  0  0  0  0  0  0
                                res_2_3_table  1  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  1  0
                          sketching_2_2_table  0  0  0  0  0  0  0  1
                          sketching_2_3_table  0  1  0  0  0  0  0  0
                             sampling_3_table  0  0  1  0  0  0  0  0
                                res_3_1_table  0  1  0  0  0  0  0  0
                                res_3_2_table  0  1  0  0  0  0  0  0
                                res_3_3_table  1  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  1  0  0  0  0  0
                          sketching_3_2_table  0  0  1  0  0  0  0  0
                          sketching_3_3_table  0  0  1  0  0  0  0  0
                             sampling_4_table  0  0  0  1  0  0  0  0
                                res_4_1_table  1  0  0  0  0  0  0  0
                                res_4_2_table  0  0  1  0  0  0  0  0
                                res_4_3_table  0  0  1  0  0  0  0  0
                          sketching_4_1_table  0  0  0  1  0  0  0  0
                          sketching_4_2_table  0  0  0  1  0  0  0  0
                          sketching_4_3_table  0  0  0  1  0  0  0  0
                             sampling_5_table  0  0  0  0  1  0  0  0
                                res_5_1_table  0  1  0  0  0  0  0  0
                                res_5_2_table  0  0  0  1  0  0  0  0
                                res_5_3_table  0  0  0  1  0  0  0  0
                          sketching_5_1_table  0  0  0  0  1  0  0  0
                          sketching_5_2_table  0  0  0  0  1  0  0  0
                          sketching_5_3_table  0  0  0  0  1  0  0  0
                             sampling_6_table  0  0  0  0  0  1  0  0
                                res_6_1_table  0  1  0  0  0  0  0  0
                                res_6_2_table  0  0  0  0  1  0  0  0
                                res_6_3_table  0  0  0  0  1  0  0  0
                          sketching_6_1_table  0  0  0  0  0  1  0  0
                          sketching_6_2_table  0  0  0  0  0  1  0  0
                          sketching_6_3_table  0  0  0  0  0  1  0  0
                                 _condition_0  0  1  0  0  0  0  0  0
                                 _condition_1  0  0  1  0  0  0  0  0
                                 _condition_2  0  0  0  1  0  0  0  0
                                 _condition_3  0  0  0  0  1  0  0  0
                                 _condition_4  0  0  0  0  0  1  0  0
---------------------------------------------------------------------
                      [startAllMem] TOTAL SUM  6  7  7  7  7  7  4  2
---------------------------------------------------------------------

                                  [endAllMem]  1  2  3  4  5  6  7  8
---------------------------------------------------------------------
                             sampling_1_table  1  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  1  0
                                res_1_2_table  0  0  0  0  0  1  0  0
                                res_1_3_table  0  0  0  0  0  1  0  0
                          sketching_1_1_table  0  0  0  0  0  0  0  1
                          sketching_1_2_table  0  0  0  0  0  0  1  0
                          sketching_1_3_table  0  0  0  0  0  0  1  0
                             sampling_2_table  0  1  0  0  0  0  0  0
                                res_2_1_table  1  0  0  0  0  0  0  0
                                res_2_2_table  1  0  0  0  0  0  0  0
                                res_2_3_table  1  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  1  0
                          sketching_2_2_table  0  0  0  0  0  0  0  1
                          sketching_2_3_table  0  1  0  0  0  0  0  0
                             sampling_3_table  0  0  1  0  0  0  0  0
                                res_3_1_table  0  1  0  0  0  0  0  0
                                res_3_2_table  0  1  0  0  0  0  0  0
                                res_3_3_table  1  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  1  0  0  0  0  0
                          sketching_3_2_table  0  0  1  0  0  0  0  0
                          sketching_3_3_table  0  0  1  0  0  0  0  0
                             sampling_4_table  0  0  0  1  0  0  0  0
                                res_4_1_table  1  0  0  0  0  0  0  0
                                res_4_2_table  0  0  1  0  0  0  0  0
                                res_4_3_table  0  0  1  0  0  0  0  0
                          sketching_4_1_table  0  0  0  1  0  0  0  0
                          sketching_4_2_table  0  0  0  1  0  0  0  0
                          sketching_4_3_table  0  0  0  1  0  0  0  0
                             sampling_5_table  0  0  0  0  1  0  0  0
                                res_5_1_table  0  1  0  0  0  0  0  0
                                res_5_2_table  0  0  0  1  0  0  0  0
                                res_5_3_table  0  0  0  1  0  0  0  0
                          sketching_5_1_table  0  0  0  0  1  0  0  0
                          sketching_5_2_table  0  0  0  0  1  0  0  0
                          sketching_5_3_table  0  0  0  0  1  0  0  0
                             sampling_6_table  0  0  0  0  0  1  0  0
                                res_6_1_table  0  1  0  0  0  0  0  0
                                res_6_2_table  0  0  0  0  1  0  0  0
                                res_6_3_table  0  0  0  0  1  0  0  0
                          sketching_6_1_table  0  0  0  0  0  1  0  0
                          sketching_6_2_table  0  0  0  0  0  1  0  0
                          sketching_6_3_table  0  0  0  0  0  1  0  0
                                 _condition_0  0  1  0  0  0  0  0  0
                                 _condition_1  0  0  1  0  0  0  0  0
                                 _condition_2  0  0  0  1  0  0  0  0
                                 _condition_3  0  0  0  0  1  0  0  0
                                 _condition_4  0  0  0  0  0  1  0  0
---------------------------------------------------------------------
                        [endAllMem] TOTAL SUM  6  7  7  7  7  7  4  2
---------------------------------------------------------------------

                             [blockAllMemBin]  1  2  3  4  5  6  7  8
---------------------------------------------------------------------
                             sampling_1_table  1  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  1  0
                                res_1_2_table  0  0  0  0  0  1  0  0
                                res_1_3_table  0  0  0  0  0  1  0  0
                          sketching_1_1_table  0  0  0  0  0  0  0  1
                          sketching_1_2_table  0  0  0  0  0  0  1  0
                          sketching_1_3_table  0  0  0  0  0  0  1  0
                             sampling_2_table  0  1  0  0  0  0  0  0
                                res_2_1_table  1  0  0  0  0  0  0  0
                                res_2_2_table  1  0  0  0  0  0  0  0
                                res_2_3_table  1  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  1  0
                          sketching_2_2_table  0  0  0  0  0  0  0  1
                          sketching_2_3_table  0  1  0  0  0  0  0  0
                             sampling_3_table  0  0  1  0  0  0  0  0
                                res_3_1_table  0  1  0  0  0  0  0  0
                                res_3_2_table  0  1  0  0  0  0  0  0
                                res_3_3_table  1  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  1  0  0  0  0  0
                          sketching_3_2_table  0  0  1  0  0  0  0  0
                          sketching_3_3_table  0  0  1  0  0  0  0  0
                             sampling_4_table  0  0  0  1  0  0  0  0
                                res_4_1_table  1  0  0  0  0  0  0  0
                                res_4_2_table  0  0  1  0  0  0  0  0
                                res_4_3_table  0  0  1  0  0  0  0  0
                          sketching_4_1_table  0  0  0  1  0  0  0  0
                          sketching_4_2_table  0  0  0  1  0  0  0  0
                          sketching_4_3_table  0  0  0  1  0  0  0  0
                             sampling_5_table  0  0  0  0  1  0  0  0
                                res_5_1_table  0  1  0  0  0  0  0  0
                                res_5_2_table  0  0  0  1  0  0  0  0
                                res_5_3_table  0  0  0  1  0  0  0  0
                          sketching_5_1_table  0  0  0  0  1  0  0  0
                          sketching_5_2_table  0  0  0  0  1  0  0  0
                          sketching_5_3_table  0  0  0  0  1  0  0  0
                             sampling_6_table  0  0  0  0  0  1  0  0
                                res_6_1_table  0  1  0  0  0  0  0  0
                                res_6_2_table  0  0  0  0  1  0  0  0
                                res_6_3_table  0  0  0  0  1  0  0  0
                          sketching_6_1_table  0  0  0  0  0  1  0  0
                          sketching_6_2_table  0  0  0  0  0  1  0  0
                          sketching_6_3_table  0  0  0  0  0  1  0  0
                                 _condition_0  0  1  0  0  0  0  0  0
                                 _condition_1  0  0  1  0  0  0  0  0
                                 _condition_2  0  0  0  1  0  0  0  0
                                 _condition_3  0  0  0  0  1  0  0  0
                                 _condition_4  0  0  0  0  0  1  0  0
---------------------------------------------------------------------
                   [blockAllMemBin] TOTAL SUM  6  7  7  7  7  7  4  2
---------------------------------------------------------------------

             [startAllMemTimesBlockAllMemBin]  1  2  3  4  5  6  7  8
---------------------------------------------------------------------
                             sampling_1_table  1  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  1  0
                                res_1_2_table  0  0  0  0  0  1  0  0
                                res_1_3_table  0  0  0  0  0  1  0  0
                          sketching_1_1_table  0  0  0  0  0  0  0  1
                          sketching_1_2_table  0  0  0  0  0  0  1  0
                          sketching_1_3_table  0  0  0  0  0  0  1  0
                             sampling_2_table  0  1  0  0  0  0  0  0
                                res_2_1_table  1  0  0  0  0  0  0  0
                                res_2_2_table  1  0  0  0  0  0  0  0
                                res_2_3_table  1  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  1  0
                          sketching_2_2_table  0  0  0  0  0  0  0  1
                          sketching_2_3_table  0  1  0  0  0  0  0  0
                             sampling_3_table  0  0  1  0  0  0  0  0
                                res_3_1_table  0  1  0  0  0  0  0  0
                                res_3_2_table  0  1  0  0  0  0  0  0
                                res_3_3_table  1  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  1  0  0  0  0  0
                          sketching_3_2_table  0  0  1  0  0  0  0  0
                          sketching_3_3_table  0  0  1  0  0  0  0  0
                             sampling_4_table  0  0  0  1  0  0  0  0
                                res_4_1_table  1  0  0  0  0  0  0  0
